start,end,reported_count,parsed_count,unique_incident_links,html_minus_parsed
2026-09-18,2026-09-22,33.0,33,33,0
2026-09-15,2026-09-17,86.0,86,86,0
2026-09-12,2026-09-14,45.0,45,45,0
2026-09-10,2026-09-11,69.0,69,69,0
2026-09-07,2026-09-09,87.0,87,87,0
2026-09-04,2026-09-06,43.0,43,43,0
2026-09-01,2026-09-03,71.0,71,71,0
2026-08-27,2026-08-31,76.0,76,76,0
2026-08-24,2026-08-26,76.0,76,76,0
2026-08-21,2026-08-23,32.0,32,32,0
2026-08-18,2026-08-20,72.0,72,72,0
2026-08-15,2026-08-17,52.0,52,52,0
2026-08-12,2026-08-14,60.0,60,60,0
2026-08-09,2026-08-11,64.0,64,64,0
2026-08-07,2026-08-08,31.0,31,31,0
2026-08-04,2026-08-06,80.0,80,80,0
2026-08-01,2026-08-03,53.0,53,53,0
2026-07-29,2026-07-31,74.0,74,74,0
2026-07-24,2026-07-28,89.0,89,89,0
2026-07-21,2026-07-23,64.0,64,64,0
2026-07-18,2026-07-20,52.0,52,52,0
2026-07-16,2026-07-17,29.0,29,29,0
2026-07-13,2026-07-15,82.0,82,82,0
2026-07-07,2026-07-12,99.0,99,99,0
2026-07-01,2026-07-06,92.0,92,92,0
2026-06-25,2026-06-30,92.0,92,92,0
2026-06-23,2026-06-24,48.0,48,48,0
2026-06-20,2026-06-22,56.0,56,56,0
2026-06-17,2026-06-19,79.0,79,79,0
2026-06-14,2026-06-16,70.0,70,70,0
2026-06-12,2026-06-13,28.0,28,28,0
2026-06-09,2026-06-11,83.0,83,83,0
2026-06-06,2026-06-08,56.0,56,56,0
2026-06-03,2026-06-05,70.0,70,70,0
2026-06-01,2026-06-02,58.0,58,58,0
2026-05-29,2026-05-31,47.0,47,47,0
2026-05-26,2026-05-28,70.0,70,70,0
2026-05-23,2026-05-25,38.0,38,38,0
2026-05-20,2026-05-22,64.0,64,64,0
2026-05-17,2026-05-19,54.0,54,54,0
2026-05-14,2026-05-16,47.0,47,47,0
2026-05-11,2026-05-13,87.0,87,87,0
2026-05-06,2026-05-10,84.0,84,84,0
2026-05-03,2026-05-05,73.0,73,73,0
2026-04-30,2026-05-02,42.0,42,42,0
2026-04-25,2026-04-29,66.0,66,66,0
2026-04-22,2026-04-24,60.0,60,60,0
2026-04-19,2026-04-21,61.0,61,61,0
2026-04-14,2026-04-18,90.0,90,90,0
2026-04-08,2026-04-13,85.0,85,85,0
2026-04-02,2026-04-07,87.0,87,87,0
2026-03-27,2026-04-01,95.0,95,95,0
2026-03-25,2026-03-26,41.0,41,41,0
2026-03-22,2026-03-24,59.0,59,59,0
2026-03-19,2026-03-21,45.0,45,45,0
2026-03-16,2026-03-18,85.0,85,85,0
2026-03-11,2026-03-15,91.0,91,91,0
2026-03-08,2026-03-10,80.0,80,80,0
2026-03-05,2026-03-07,38.0,38,38,0
2026-02-28,2026-03-04,84.0,81,81,0
2026-02-25,2026-02-27,60.0,59,59,0
2026-02-22,2026-02-24,75.0,73,73,0
2026-02-19,2026-02-21,51.0,49,49,0
2026-02-16,2026-02-18,71.0,70,70,0
2026-02-13,2026-02-15,38.0,38,38,0
2026-02-10,2026-02-12,72.0,71,71,0
2026-02-05,2026-02-09,84.0,84,84,0
2026-02-02,2026-02-04,78.0,78,78,0
2026-01-30,2026-02-01,35.0,34,34,0
2026-01-28,2026-01-29,41.0,41,41,0
2026-01-25,2026-01-27,97.0,92,92,0
2026-01-22,2026-01-24,53.0,51,51,0
2026-01-19,2026-01-21,67.0,65,65,0
2026-01-14,2026-01-18,95.0,89,89,0
2026-01-11,2026-01-13,65.0,64,64,0
2026-01-08,2026-01-10,49.0,48,48,0
2026-01-02,2026-01-07,95.0,92,92,0
2025-12-27,2026-01-01,54.0,53,53,0
2025-12-22,2025-12-26,64.0,63,63,0
2025-12-16,2025-12-21,96.0,92,92,0
2025-12-11,2025-12-15,66.0,63,63,0
2025-12-05,2025-12-10,100.0,99,99,0
2025-11-30,2025-12-04,97.0,95,95,0
2025-11-27,2025-11-29,30.0,28,28,0
2025-11-24,2025-11-26,75.0,74,74,0
2025-11-18,2025-11-23,95.0,90,90,0
2025-11-15,2025-11-17,45.0,45,45,0
2025-11-12,2025-11-14,59.0,55,55,0
2025-11-07,2025-11-11,79.0,75,75,0
2025-11-01,2025-11-06,99.0,96,96,0
2025-10-29,2025-10-31,47.0,47,47,0
2025-10-26,2025-10-28,55.0,54,54,0
2025-10-23,2025-10-25,39.0,37,37,0
2025-10-20,2025-10-22,81.0,80,80,0
2025-10-15,2025-10-19,73.0,70,70,0
2025-10-09,2025-10-14,88.0,87,87,0
2025-10-03,2025-10-08,96.0,93,93,0
2025-09-27,2025-10-02,76.0,73,73,0
2025-09-22,2025-09-26,79.0,76,76,0
2025-09-16,2025-09-21,89.0,87,87,0
2025-09-11,2025-09-15,62.0,60,60,0
2025-09-05,2025-09-10,68.0,65,65,0
2025-08-31,2025-09-04,83.0,77,77,0
2025-08-25,2025-08-30,82.0,79,79,0
2025-08-19,2025-08-24,70.0,69,69,0
2025-08-13,2025-08-18,73.0,72,72,0
2025-08-08,2025-08-12,52.0,50,50,0
2025-08-02,2025-08-07,86.0,81,81,0
2025-07-28,2025-08-01,65.0,63,63,0
2025-07-22,2025-07-27,71.0,68,68,0
